1768294065249|0|statement|connection 12|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = 'dbfb20ce-b4a1-4fa8-b3a7-33d02d88009c'
1768294065249|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = 'fd9ef30a-cdd7-4255-9ac6-9210164d6b02'
1768294065253|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = '1e43dd45-b717-40ed-9f9f-f8f211e00c82'
1768294068350|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = ?|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = 6
1768294068352|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 6     ORDER BY sort_order ASC, created_at DESC
1768294068366|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = 'dbfb20ce-b4a1-4fa8-b3a7-33d02d88009c'
1768294068367|0|statement|connection 12|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = 'fd9ef30a-cdd7-4255-9ac6-9210164d6b02'
1768294068374|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = '1e43dd45-b717-40ed-9f9f-f8f211e00c82'
1768294081176|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = ?|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = 6
1768294081177|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 6     ORDER BY sort_order ASC, created_at DESC
1768294081191|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = 'fd9ef30a-cdd7-4255-9ac6-9210164d6b02'
1768294081191|0|statement|connection 12|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = 'dbfb20ce-b4a1-4fa8-b3a7-33d02d88009c'
1768294081201|0|statement|connection 12|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE id = ?|SELECT *     FROM file     WHERE id = '1e43dd45-b717-40ed-9f9f-f8f211e00c82'
1768294082910|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = ?|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = 6
